Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","2","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","36296.113","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37171.921","X","International reliable sources",""
"OA","Annual population","3","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2884.169","X","International reliable sources",""
"OA","Annual population","3","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2882.74","X","International reliable sources",""
"OA","Annual population","4","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","41389.189","X","International reliable sources",""
"OA","Annual population","4","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","42228.408","X","International reliable sources",""
"OA","Annual population","5","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","55.62","X","International reliable sources",""
"OA","Annual population","5","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","55.465","X","International reliable sources",""
"OA","Annual population","6","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","77.001","X","International reliable sources",""
"OA","Annual population","6","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","77.006","X","International reliable sources",""
"OA","Annual population","7","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","29816.766","X","International reliable sources",""
"OA","Annual population","7","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","30809.787","X","International reliable sources",""
"OA","Annual population","258","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","14.584","X","International reliable sources",""
"OA","Annual population","258","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","14.731","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","95.426","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","96.286","X","International reliable sources",""
"OA","Annual population","9","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","43937.14","X","International reliable sources",""
"OA","Annual population","9","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","44361.15","X","International reliable sources",""
"OA","Annual population","1","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2944.791","X","International reliable sources",""
"OA","Annual population","1","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2951.745","X","International reliable sources",""
"OA","Annual population","22","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","105.366","X","International reliable sources",""
"OA","Annual population","22","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","105.845","X","International reliable sources",""
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","24584.62","X","International reliable sources",""
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","24898.152","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","8819.901","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","8891.388","X","International reliable sources",""
"OA","Annual population","52","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","9845.32","X","International reliable sources",""
"OA","Annual population","52","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9949.537","X","International reliable sources",""
"OA","Annual population","12","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","381.755","X","International reliable sources",""
"OA","Annual population","12","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","385.637","X","International reliable sources",""
"OA","Annual population","13","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1494.076","X","International reliable sources",""
"OA","Annual population","13","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1569.446","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","159685.424","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","161376.708","X","International reliable sources",""
"OA","Annual population","14","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","286.232","X","International reliable sources",""
"OA","Annual population","14","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","286.641","X","International reliable sources",""
"OA","Annual population","57","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","9450.231","X","International reliable sources",""
"OA","Annual population","57","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9452.617","X","International reliable sources",""
"OA","Annual population","255","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","11419.748","X","International reliable sources",""
"OA","Annual population","255","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11482.178","X","International reliable sources",""
"OA","Annual population","23","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","375.769","X","International reliable sources",""
"OA","Annual population","23","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","383.071","X","International reliable sources",""
"OA","Annual population","53","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","11175.198","X","International reliable sources",""
"OA","Annual population","53","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11485.044","X","International reliable sources",""
"OA","Annual population","17","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","63.049","X","International reliable sources",""
"OA","Annual population","17","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","62.756","X","International reliable sources",""
"OA","Annual population","18","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","745.563","X","International reliable sources",""
"OA","Annual population","18","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","754.388","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","11192.855","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11353.142","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","25.401","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25.711","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","3351.525","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3323.925","X","International reliable sources",""
"OA","Annual population","20","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2205.08","X","International reliable sources",""
"OA","Annual population","20","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2254.068","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","207833.823","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","209469.323","X","International reliable sources",""
"OA","Annual population","239","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","29.577","X","International reliable sources",""
"OA","Annual population","239","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","29.802","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","424.473","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","428.963","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","7102.444","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","7051.608","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","19193.234","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","19751.466","X","International reliable sources",""
"OA","Annual population","29","Burundi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","10827.019","X","International reliable sources",""
"OA","Annual population","29","Burundi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11175.374","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","537.498","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","543.767","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","16009.409","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","16249.792","X","International reliable sources",""
"OA","Annual population","32","Cameroon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","24566.073","X","International reliable sources",""
"OA","Annual population","32","Cameroon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25216.267","X","International reliable sources",""
"OA","Annual population","33","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","36732.095","X","International reliable sources",""
"OA","Annual population","33","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37074.562","X","International reliable sources",""
"OA","Annual population","36","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","63.382","X","International reliable sources",""
"OA","Annual population","36","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","64.174","X","International reliable sources",""
"OA","Annual population","37","Central African Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","4596.023","X","International reliable sources",""
"OA","Annual population","37","Central African Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4666.368","X","International reliable sources",""
"OA","Annual population","39","Chad","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","15016.753","X","International reliable sources",""
"OA","Annual population","39","Chad","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","15477.729","X","International reliable sources",""
"OA","Annual population","259","Channel Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","168.665","X","International reliable sources",""
"OA","Annual population","259","Channel Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","170.499","X","International reliable sources",""
"OA","Annual population","40","Chile","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","18470.439","X","International reliable sources",""
"OA","Annual population","40","Chile","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","18729.16","X","International reliable sources",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1452625.244","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1459377.612","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","96","China, Hong Kong SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","7306.322","X","International reliable sources",""
"OA","Annual population","96","China, Hong Kong SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","7371.73","X","International reliable sources",""
"OA","Annual population","128","China, Macao SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","622.585","X","International reliable sources",""
"OA","Annual population","128","China, Macao SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","631.636","X","International reliable sources",""
"OA","Annual population","41","China, mainland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1421021.791","X","International reliable sources",""
"OA","Annual population","41","China, mainland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1427647.786","X","International reliable sources",""
"OA","Annual population","214","China, Taiwan Province of","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","23674.546","X","International reliable sources",""
"OA","Annual population","214","China, Taiwan Province of","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","23726.46","X","International reliable sources",""
"OA","Annual population","44","Colombia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","48909.839","X","International reliable sources",""
"OA","Annual population","44","Colombia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","49661.048","X","International reliable sources",""
"OA","Annual population","45","Comoros","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","813.892","X","International reliable sources",""
"OA","Annual population","45","Comoros","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","832.322","X","International reliable sources",""
"OA","Annual population","46","Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","5110.695","X","International reliable sources",""
"OA","Annual population","46","Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","5244.359","X","International reliable sources",""
"OA","Annual population","47","Cook Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","17.507","X","International reliable sources",""
"OA","Annual population","47","Cook Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17.518","X","International reliable sources",""
"OA","Annual population","48","Costa Rica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","4949.954","X","International reliable sources",""
"OA","Annual population","48","Costa Rica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4999.441","X","International reliable sources",""
"OA","Annual population","107","Côte d'Ivoire","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","24437.47","X","International reliable sources",""
"OA","Annual population","107","Côte d'Ivoire","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25069.23","X","International reliable sources",""
"OA","Annual population","98","Croatia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","4182.857","X","International reliable sources",""
"OA","Annual population","98","Croatia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4156.405","X","International reliable sources",""
"OA","Annual population","49","Cuba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","11339.254","X","International reliable sources",""
"OA","Annual population","49","Cuba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11338.134","X","International reliable sources",""
"OA","Annual population","279","Curaçao","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","161.997","X","International reliable sources",""
"OA","Annual population","279","Curaçao","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","162.752","X","International reliable sources",""
"OA","Annual population","50","Cyprus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1179.678","X","International reliable sources",""
"OA","Annual population","50","Cyprus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1189.265","X","International reliable sources",""
"OA","Annual population","167","Czechia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","10641.034","X","International reliable sources",""
"OA","Annual population","167","Czechia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","10665.677","X","International reliable sources",""
"OA","Annual population","116","Democratic People's Republic of Korea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","25429.825","X","International reliable sources",""
"OA","Annual population","116","Democratic People's Republic of Korea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25549.604","X","International reliable sources",""
"OA","Annual population","250","Democratic Republic of the Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","81398.764","X","International reliable sources",""
"OA","Annual population","250","Democratic Republic of the Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","84068.091","X","International reliable sources",""
"OA","Annual population","54","Denmark","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","5732.274","X","International reliable sources",""
"OA","Annual population","54","Denmark","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","5752.126","X","International reliable sources",""
"OA","Annual population","72","Djibouti","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","944.099","X","International reliable sources",""
"OA","Annual population","72","Djibouti","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","958.923","X","International reliable sources",""
"OA","Annual population","55","Dominica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","71.458","X","International reliable sources",""
"OA","Annual population","55","Dominica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","71.625","X","International reliable sources",""
"OA","Annual population","56","Dominican Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","10513.104","X","International reliable sources",""
"OA","Annual population","56","Dominican Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","10627.141","X","International reliable sources",""
"OA","Annual population","58","Ecuador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","16785.361","X","International reliable sources",""
"OA","Annual population","58","Ecuador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17084.358","X","International reliable sources",""
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","96442.591","X","International reliable sources",""
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","98423.598","X","International reliable sources",""
"OA","Annual population","60","El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","6388.126","X","International reliable sources",""
"OA","Annual population","60","El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6420.746","X","International reliable sources",""
"OA","Annual population","61","Equatorial Guinea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1262.002","X","International reliable sources",""
"OA","Annual population","61","Equatorial Guinea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1308.975","X","International reliable sources",""
"OA","Annual population","178","Eritrea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","3412.893","X","International reliable sources",""
"OA","Annual population","178","Eritrea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3452.786","X","International reliable sources",""
"OA","Annual population","63","Estonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1319.39","X","International reliable sources",""
"OA","Annual population","63","Estonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1322.92","X","International reliable sources",""
"OA","Annual population","209","Eswatini","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1124.805","X","International reliable sources",""
"OA","Annual population","209","Eswatini","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1136.281","X","International reliable sources",""
"OA","Annual population","238","Ethiopia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","106399.924","X","International reliable sources",""
"OA","Annual population","238","Ethiopia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","109224.414","X","International reliable sources",""
"OA","Annual population","65","Falkland Islands (Malvinas)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","3.068","X","International reliable sources",""
"OA","Annual population","65","Falkland Islands (Malvinas)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3.234","X","International reliable sources",""
"OA","Annual population","64","Faroe Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","48.331","X","International reliable sources",""
"OA","Annual population","64","Faroe Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","48.497","X","International reliable sources",""
"OA","Annual population","66","Fiji","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","877.459","X","International reliable sources",""
"OA","Annual population","66","Fiji","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","883.483","X","International reliable sources",""
"OA","Annual population","67","Finland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","5511.371","X","International reliable sources",""
"OA","Annual population","67","Finland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","5522.576","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","64842.509","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","64990.511","X","International reliable sources",""
"OA","Annual population","69","French Guyana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","275.191","X","International reliable sources",""
"OA","Annual population","69","French Guyana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","282.938","X","International reliable sources",""
